Date,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,Block,ReusedCount,Serial,Class,UsedLandingPad
2020-06-04,15400.0,VLEO,CCAFS SLC 40,5,1,1,1,5.0,5,B1049,1,1
2020-06-13,15400.0,VLEO,CCAFS SLC 40,3,1,1,1,5.0,3,B1059,1,1
2020-06-30,3880.0,MEO,CCAFS SLC 40,1,1,0,1,5.0,2,B1060,1,1
2020-07-20,6104.959411764706,GEO,CCAFS SLC 40,2,1,1,1,5.0,2,B1058,1,1
2020-08-18,15400.0,VLEO,CCAFS SLC 40,6,1,1,1,5.0,5,B1049,1,1
2020-08-30,1600.0,SSO,CCAFS SLC 40,4,1,1,1,5.0,3,B1059,1,1
2020-09-03,15400.0,VLEO,KSC LC 39A,2,1,1,1,5.0,2,B1060,1,1
2020-10-06,15400.0,VLEO,KSC LC 39A,3,1,1,1,5.0,2,B1058,1,1
2020-10-18,15400.0,VLEO,KSC LC 39A,6,1,1,1,5.0,5,B1051,1,1
2020-10-24,15400.0,VLEO,CCAFS SLC 40,3,1,1,1,5.0,2,B1060,1,1
2020-11-05,3681.0,MEO,CCAFS SLC 40,1,1,0,1,5.0,0,B1062,1,1
